,index,Date,State,Population Staying at Home,Population Not Staying at Home,nTrips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Number_of_Trips_1_25,Number_of_Trips_25_250,Number_of_Trips_250_,positive,positiveIncrease,region,Ratio
95,1245544,20200123,UT,625247.0,2535858.0,13254628.0,3465698.0,3412162.0,1659864.0,1996946.0,1765061.0,626934.0,184083.0,109017.0,24039.0,10824.0,10534670.0,293100.0,34863.0,0.0,0.0,W,0.8022061905567831
96,1245545,20200123,VT,135835.0,490464.0,2610530.0,638491.0,673932.0,326450.0,350586.0,412902.0,160057.0,37033.0,8722.0,1103.0,1254.0,1989459.0,45755.0,2357.0,0.0,0.0,N,0.7831147742531922
97,1245546,20200123,VA,1602224.0,6915461.0,33320758.0,8361038.0,8056779.0,4016202.0,5150932.0,5288352.0,1716162.0,515005.0,164006.0,33493.0,18789.0,25584951.0,679011.0,52282.0,0.0,0.0,S,0.8118944290614175
98,1245547,20200123,WA,1510341.0,6025250.0,27841305.0,7600040.0,7149207.0,3331820.0,4122074.0,4012846.0,1193163.0,291217.0,98306.0,16494.0,26138.0,22203141.0,389523.0,42632.0,0.0,0.0,W,0.7995723228609408
99,1245548,20200123,WV,403581.0,1402251.0,6695080.0,1639735.0,1756272.0,815275.0,1002745.0,943302.0,363164.0,127313.0,39754.0,6099.0,1421.0,5214027.0,167067.0,7520.0,0.0,0.0,S,0.7765124330502505
100,1245549,20200123,WI,1118838.0,4694730.0,20964838.0,4934538.0,5196386.0,2533548.0,3255269.0,3282180.0,1204744.0,365132.0,151262.0,27850.0,13929.0,15919741.0,516394.0,41779.0,0.0,0.0,M,0.8075471036031573
101,1245550,20200123,WY,130846.0,446891.0,2380952.0,656468.0,710345.0,327553.0,227149.0,190387.0,148676.0,83563.0,31071.0,4147.0,1593.0,1921515.0,114634.0,5740.0,0.0,0.0,W,0.7735197849540535
102,1245551,20200124,AL,794678.0,4093193.0,17161854.0,3637794.0,4198206.0,2296631.0,2863499.0,2742782.0,928580.0,335759.0,125479.0,27653.0,5471.0,12996130.0,461238.0,33124.0,0.0,0.0,S,0.8374183770398196
103,1245552,20200124,AK,164636.0,572802.0,2865785.0,818330.0,783048.0,402359.0,413757.0,279483.0,119442.0,25812.0,8786.0,11502.0,3266.0,2417494.0,34598.0,14768.0,0.0,0.0,W,0.7767459772889382
104,1245553,20200124,AZ,1339123.0,5832523.0,26830124.0,7081013.0,6556332.0,3263694.0,4043370.0,4115057.0,1196691.0,336544.0,187013.0,30197.0,20213.0,20944409.0,523557.0,50410.0,0.0,0.0,W,0.8132753624481743
105,1245554,20200124,AR,522850.0,2490975.0,10465377.0,2413445.0,2723292.0,1325452.0,1583711.0,1521645.0,562108.0,225551.0,90002.0,16877.0,3294.0,8045900.0,315553.0,20171.0,0.0,0.0,S,0.826516138130117
106,1245555,20200124,CA,7013215.0,32543830.0,154389741.0,42810906.0,39823517.0,18213111.0,21956212.0,21046183.0,7335683.0,2295737.0,701775.0,141425.0,65192.0,122803746.0,2997512.0,206617.0,0.0,0.0,W,0.822706296691272
